Ticker,Financial Year End,Total Revenue,COGS,SG&A Expenses,Net Income,Basic EPS,Depreciation,Operating Cash Flow (CFO),Dividends Paid,Total Assets,Current Assets,Receivables,PP&E,Total Long-Term Debt,Current Liabilities,Total Equity,Trailing P/E (Historical),Current Trailing P/E (Live),Current PEG Ratio (Live)
TTML.NS,2024-03-31,11868800000.0,2683900000.0,368000000.0,-12284400000.0,-6.28,1504400000.0,5865900000.0,,13069900000.0,2904900000.0,1558900000.0,8440200000.0,129566400000.0,75347400000.0,-192529500000.0,,,
TTML.NS,2023-03-31,11012400000.0,2514000000.0,426800000.0,-11447200000.0,-5.86,1471600000.0,5580800000.0,,12107400000.0,2714700000.0,1096900000.0,7678400000.0,82448200000.0,102213900000.0,-190545300000.0,,,
TTML.NS,2022-03-31,10904000000.0,2975100000.0,419800000.0,-12150000000.0,-6.22,1602100000.0,5300800000.0,,13645300000.0,3782700000.0,1212400000.0,8049800000.0,107108100000.0,94234000000.0,-188324800000.0,,,
TTML.NS,2021-03-31,,,,,,,,,,,,,,,,,,
TECHM.NS,2021-03-31,,,,,,,,,,,,,,,,,31.282915,
TECHM.NS,2022-03-31,446460000000.0,313347000000.0,18231000000.0,55661000000.0,63.32,15204000000.0,52853000000.0,39813000000.0,448707000000.0,244557000000.0,74676000000.0,37846000000.0,1420000000.0,125048000000.0,268857000000.0,,31.282915,
TECHM.NS,2023-03-31,532902000000.0,387190000000.0,20135000000.0,48313000000.0,54.76,19567000000.0,55720000000.0,42633000000.0,461533000000.0,244327000000.0,81424000000.0,40420000000.0,1288000000.0,133210000000.0,279245000000.0,,31.282915,
TECHM.NS,2024-03-31,519956000000.0,390276000000.0,21652000000.0,23578000000.0,26.66,18171000000.0,63764000000.0,39170000000.0,434236000000.0,234253000000.0,71256000000.0,36193000000.0,1025000000.0,126166000000.0,266694000000.0,,31.282915,
TECHM.NS,2025-03-31,529883000000.0,388201000000.0,20632000000.0,42515000000.0,48.0,18529000000.0,57857000000.0,38769000000.0,444945000000.0,236792000000.0,65486000000.0,39197000000.0,0.0,126740000000.0,273615000000.0,,31.282915,
TECHNOE.NS,2025-03-31,22427460000.0,17652974000.0,219195000.0,4229455000.0,37.19,80514000.0,4530133000.0,814097000.0,50564118000.0,44524187000.0,6729234000.0,5313950000.0,,9476944000.0,37396219000.0,,28.810518,
